# dpi-detector — файл локализации: English -> Farsi
#
# Как редактировать:
#   * Меняйте ТОЛЬКО третью колонку (fa). Колонку key не трогайте: по ней
#     правки вернутся в Rust-исходники (crates/dpi-core/src/i18n/).
#   * Колонка en — эталонный английский текст, не менять.
#   * Колонки разделены ОДНИМ символом табуляции (TAB). Табуляции внутри
#     текста быть не должно. Строки не переносить.
#   * Сохраняйте без изменений служебные вставки:
#       \n            — перенос строки        (оставить как два символа)
#       \x1b[36m...   — цвет терминала      (оставить как есть)
#       {}            — подстановка значения (ровно столько, сколько в en)
#       стрелки, кавычки, начальные/конечные пробелы, скобки — как в en.
#     Если в en нет {}, не добавляйте его в fa.
#   * Строки, где en и fa совпадают, — это статус-бейджи и протокольные
#     токены (OK, TLS RST, TCP, UDP, DoH, SNI, ClientHello...). По правилу 4
#     они НЕ переводятся: оставьте латиницей как есть.
#   * Язык Farsi здесь — «финглиш»: только латиница, без диакритики.
#     Персидская вязь/арабица сломает тест i18n::tests::test_finglish_is_latin_only
#     и верстку таблиц (RTL). Допустимы только символы: ✓ × ⚠ ↑
#   * Не удаляйте и не добавляйте строки; пустые значения недопустимы.
#
# Источник: crates/dpi-core/src/i18n/mod.rs (Messages, legend_sections_fa),
#           crates/dpi-core/src/i18n/details.rs (detail.DET_*).
# Формат: key <TAB> en <TAB> fa

key	en	fa

# ===== messages — интерфейс (Messages) =====
messages.banner_subtitle	Rust Native DPI & Censorship Diagnostic Engine	Motore boomi-e tashkhis-e filtering va barresi-e amigh-e packet ha (DPI)
messages.netinfo_title	Network & System Information	Ettela'ate shabake va system
messages.dns_title	DNS Resolver Availability:	Vaziyat-e dastrasi be kargozarhaye DNS:
messages.domain_title	TLS / SNI Domain Inspection Results:	Natayej-e barresi-e domain ha (TLS / SNI):
messages.summary_title	Summary	Kholase-ye natayej
messages.status	Status	Vaziyat
messages.available	AVAILABLE	AVAILABLE
messages.blocked	BLOCKED	BLOCKED
messages.domain	Domain	Domain
messages.stage	Stage	Marhale
messages.bytes	Bytes (Tx/Rx)	Byte ha (ersal/daryaft)
messages.duration	Duration	Moddat-e zaman
messages.detail	Detail	Joz'iyat
messages.provider	Provider	Ara'e-dahande
messages.region	Region	Mantaghe
messages.bypass_tools	DPI Bypass Tools	Abarhaye door zadan-e filtering
messages.gateway	Default Gateway	Darvaze-ye pishfarz
messages.menu_title	Parameters & test selection	Tanzimat va entekhab-e test ha
messages.menu_language	Language	Zaban
messages.menu_ip_version	IP version	IP version
messages.menu_concurrency	Concurrency	Teedade worker ha
messages.menu_hw_row	row	Peymayesh
messages.menu_hw_change	change	Taghir
messages.menu_hw_tests	tests	Test ha
messages.menu_hw_start	start	Shoroo
messages.menu_hw_quit	quit	Khorooj
messages.menu_line_prompt	Enter selection [123]: 	Entekhab-e khod ra vared konid [123]: 
messages.menu_invalid_line	Invalid input, running tests 1, 2, 3.	Voroodi-e na-motabar; test haye 1, 2, 3 ejra mishavand.
messages.menu_need_one	Select at least one test	Hadaghal yek test ra entekhab konid
messages.menu_test_netinfo	Network & system information	Ettela'ate shabake va system
messages.menu_test_dns	DNS server availability	DNS server haye dar dastras
messages.menu_test_domains	Website availability	Website haye dar dastras
messages.menu_test_tcp	CDN & hosting availability (16 KB test)	CDN va hosting haye dar dastras
messages.menu_test_sni	Whitelist SNI discovery	Jost o juye SNI haye whitelist
messages.menu_test_telegram	Telegram availability	Dastrasi be Telegram
messages.menu_test_legend	Status legend (help)	Rahnemaye barname
messages.fingerprint_label	Fingerprint	Fingerprint
messages.fingerprint_note	The CUSTOM profile reproduces a Firefox-like ClientHello shape; CHROME and SAFARI reproduce the curl-impersonate JA3 shapes Russian TSPU reportedly blocks (chrome 99-116 / edge 99-101 and safari 15.5-18.4 families). None is byte-for-byte a real browser — deeper fingerprinting (HTTP/2 settings, ALPN, record timing) can still distinguish them.	The CUSTOM profile reproduces a Firefox-like ClientHello shape; CHROME and SAFARI reproduce the curl-impersonate JA3 shapes Russian TSPU reportedly blocks (chrome 99-116 / edge 99-101 and safari 15.5-18.4 families). None is byte-for-byte a real browser - deeper fingerprinting (HTTP/2 settings, ALPN, record timing) can still distinguish them.
messages.replies_label	replies	pasokh ha
messages.blocked_short	blocked	masdood
messages.mixed_short	mixed	tarkibi
messages.legend_title	\nStatus legend:\n	\nRahnemaye vaziyat ha:\n
messages.latest_version	✓ Latest version	✓ Akharin noskhe
messages.author	Author:	Nivisande:
messages.chat	Chat:	Goruh:
messages.update_failed	× Failed to check for updates	× Khata dar barresi-e update ha
messages.update_available	↑ New version available {}	↑ Noskhe-ye jadid dar dastras ast {}
messages.update_current	✓ Up to date	✓ Akharin noskhe
messages.checking_updates	Checking for updates...	Barresi-e update...
messages.os	OS:	System-e amel:
messages.system_dns	System DNS:	DNS system:
messages.active_interface	Active interface:	Interface-e fa'al:
messages.inactive_dns	Inactive DNS:	DNS-e gheyr-e fa'al:
messages.router_resolver	Router resolver	Resolver-e router
messages.upstream_vpn	Upstream VPN	Upstream VPN
messages.wsl_proxy	WSL proxy	Proxy-e WSL
messages.wsl_network	WSL network:	Shabake-ye WSL:
messages.local_bypass	Local DPI bypass on device:	Door zadan-e mahalli-e DPI dar device:
messages.not_detected	not detected	peyda nashod
messages.unavailable	unavailable	dar dastras nist
messages.subnet_label	Subnet:	Subnet:
messages.ttlb_label	TTLB:	TTLB:
messages.org_label	Org:	Org:
messages.location_label	Location:	Location:
messages.dns_check_title	DNS Server Availability Check	Barresi-e dar dastras boodan-e serverhaye DNS
messages.doh_endpoints	DoH endpoints	Endpoint haye DoH
messages.dot_endpoints	DoT endpoints	Endpoint haye DoT
messages.udp_endpoints	UDP endpoints	Endpoint haye UDP
messages.doh_min	DoH min	Hadaghal-e DoH
messages.dot_min	DoT min	Hadaghal-e DoT
messages.udp_min	UDP min	Hadaghal-e UDP
messages.real_udp_resolver	Real UDP resolver	Resolver-e vaghe'i-e UDP
messages.spoofing	Spoofing	Ja'l
messages.timeout_label	timeout	mohlat
messages.egress_na	egress N/A	egress N/A
messages.partial_dns_warn	Partially available DNS servers (packet loss):	Serverhaye DNS ba dastrasi-e naghes (az dast raftan-e packet ha):
messages.dns_truth_fallback_note	Reference IPs for part of the domains come from DNS_TRUTH_FALLBACK\n(config.yml): no encrypted DNS answered here, so they may be outdated.	IP haye reference baraye barkhi domain ha az DNS_TRUTH_FALLBACK\n(config.yml) miyayand: hich DNS-e encrypted pasokh nadad, pas momken ast ghadimi bashand.
messages.dns_fakeip_warn	[!] DNS responses contain FakeIP\nDisable proxy/FakeIP during check for accurate assessment.	[!] Pasokh haye DNS shamel-e FakeIP hastand\nBaraye arzyabi-e daghigh, dar tool-e test proxy/FakeIP ra khamoosh konid.
messages.dns_intercept_warn	[!] Your ISP intercepts DNS queries\nISP replaces UDP DNS responses with stubs or fake NXDOMAIN/EMPTY/TIMEOUT	[!] ISP shoma porsoju haye DNS ra intercept mikonad\nPasokh haye UDP ba blockpage ya pasokh haye ja'li jaygozin mishavand
messages.dns_stub_ip_label	ISP blockpage IP: {}.	IP-e blockpage-e ISP: {}.
messages.doh_recommendation	Recommendation: Configure DoH on your device/router if not already done.	Tavsiye: agar emkan darad DoH ra rooye device ya router-e khod fa'al konid.
messages.non_socks_proxy_warn	Proxy is not SOCKS5 — UDP probes bypass proxy: UDP relay is not possible via HTTP proxy.\n	Proxy az no'e SOCKS5 nist - probe haye UDP mostaghim ersal mishavand: enteghal-e UDP az tarigh-e HTTP proxy momken nist.\n
messages.blocked_domains_label	Blocked domains for check:	Domain haye masdood baraye barresi:
messages.unblocked_domains_label	Unblocked domains for check:	Domain haye mojaz baraye barresi:
messages.dns_independent_warn	WARNING: This is an independent check and does not use your configured DNS!\n	Tavajjoh: in yek test-e mostaghel ast va az DNS-e tanzim shode dar system-e shoma estefade nemikonad!\n
messages.http	HTTP	HTTP
messages.tls12	TLS1.2	TLS1.2
messages.tls13	TLS1.3	TLS1.3
messages.dns_info_title	[i] DNS RESOLUTION INFO:	[i] Ettela'ate tahlil-e DNS:
messages.traffic_fakeip	Traffic intercepted by Fake-IP: for {} domains	Traffic tavasot-e Fake-IP intercept mishavad: baraye {} domain
messages.dns_isp_stub	DNS returned ISP blockpage IP ({}): for {} domains	DNS IP-e blockpage-e ISP ra bargardand ({}): baraye {} domain
messages.dns_local_ip	DNS returned local IPs (AdGuard/hosts?): ({}): for {} domains	DNS IP haye mahalli ra bargardand (AdGuard/hosts?): ({}): baraye {} domain
messages.dns_fail_detected	DNS FAIL detected for {} sites	Khatay-e DNS FAIL baraye {} site moshahede shod
